identifier,type,id,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,socket:chademo,socket:tesla_destination,socket:tesla_supercharger_ccs,socket:type2,socket:type2_cable,socket:type2_combo
CSC-00330,unassigned_point,node/13050701489,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00325,unassigned_point,node/13050701490,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
GRD-00038,unassigned_point,node/13050708530,1,0.0,customers,no,24/7,Mobi.E,1,22.0,no,0,0.0,22.0,0,0,0,1,0,0
CSC-00347,unassigned_point,node/13050750970,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00344,unassigned_point,node/13050750971,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00332,unassigned_point,node/13050750972,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00374,unassigned_point,node/13050781855,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00373,unassigned_point,node/13050781856,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00371,unassigned_point,node/13050781857,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00395,unassigned_point,node/13050814921,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00391,unassigned_point,node/13050814922,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CSC-00387,unassigned_point,node/13050814923,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
CTB-00051,unassigned_point,node/13050842268,1,0.0,yes,no,24/7,Mobi.E,1,11.0,no,0,0.0,11.0,0,0,0,1,0,0
TRC-00002,unassigned_point,node/13050861880,2,0.0,yes,yes,24/7,Mobi.E,2,240.0,no,0,0.0,240.0,0,0,0,0,0,2
PRT-00034,unassigned_point,node/13050981401,1,0.0,customers,no,24/7,Mobi.E,1,7.4,no,0,0.0,7.4,0,0,0,1,0,0
CMN-00021,unassigned_point,node/13054979919,2,0.0,yes,no,24/7,Mobi.E,0,0.0,no,-2,0.0,0.0,0,0,0,0,0,0
CMN-00020,unassigned_point,node/13054979920,2,0.0,yes,no,24/7,Mobi.E,0,0.0,no,-2,0.0,0.0,0,0,0,0,0,0
AMR-00002,unassigned_point,node/13055112894,1,0.0,customers,no,24/7,Mobi.E,1,7.4,no,0,0.0,7.4,0,0,0,1,0,0
MCQ-?????,unassigned_point,node/13055183915,2,0.0,yes,no,24/7,Mobi.E,2,400.0,yes,0,0.0,400.0,0,0,0,0,0,2
TBR-00003,unassigned_point,node/13055186264,1,0.0,customers,no,24/7,Mobi.E,1,7.4,no,0,0.0,7.4,0,0,0,1,0,0
PLM-?????,unassigned_point,node/13056876726,2,0.0,yes,no,24/7,Mobi.E,2,120.0,yes,0,0.0,120.0,0,0,0,0,0,2
Continente Bom Dia Canas de Senhorim,unassigned_point,node/13056909511,2,0.0,yes,no,24/7,Continente Plug&Charge,2,44.0,yes,0,0.0,44.0,0,0,0,0,2,0
Continente Bom Dia Canas de Senhorim,unassigned_point,node/13056909512,2,0.0,yes,no,24/7,Continente Plug&Charge,2,50.0,yes,0,0.0,50.0,0,0,0,0,0,2
MCN-?????,unassigned_point,node/13057070774,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,0,0,0,0,2,0
