identifier,type,id,operator,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,socket:chademo,socket:chademo:kw,socket:tesla_destination,socket:tesla_destination:kw,socket:type2,socket:type2:kw,socket:type2_cable,socket:type2_cable:kw,socket:type2_combo,socket:type2_combo:kw
LSB-01229,unassigned_point,node/13760313031,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,yes,0,0.0,22.0,,,,,,,1,22.0,,
LSB-01228,unassigned_point,node/13760313032,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,yes,0,0.0,22.0,,,,,,,1,22.0,,
LSB-01227,unassigned_point,node/13760313033,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,yes,0,0.0,22.0,,,,,,,1,22.0,,
LSB-01226,unassigned_point,node/13760313034,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,yes,0,0.0,22.0,,,,,,,1,22.0,,
LSB-01225,unassigned_point,node/13760313035,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,yes,0,0.0,22.0,,,,,,,1,22.0,,
LSB-01224,unassigned_point,node/13760313036,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,yes,0,0.0,22.0,,,,,,,1,22.0,,
LSB-01087,unassigned_point,node/13760330913,Powerdot,2,0.0,yes,yes,09:00-22:00,Mobi.E,2,150.0,yes,0,0.0,150.0,1,50.0,,,,,,,1,100.0
LSB-01087,unassigned_point,node/13760330914,Powerdot,2,0.0,yes,yes,09:00-22:00,Mobi.E,2,200.0,yes,0,0.0,200.0,,,,,,,,,2,100.0
LSB-01087,unassigned_point,node/13760330915,Powerdot,2,0.0,yes,yes,09:00-22:00,Mobi.E,2,360.0,yes,0,0.0,360.0,,,,,,,,,2,180.0
PRT-00364,unassigned_point,node/13760344821,Evio,1,0.0,customers,no,24/7,Mobi.E,1,7.4,yes,0,0.0,7.4,,,,,1,7.4,,,,
PRT-00365,unassigned_point,node/13760352999,Evio,1,0.0,customers,no,24/7,Mobi.E,1,7.4,yes,0,0.0,7.4,,,,,1,7.4,,,,
PTB-00003,unassigned_point,node/13760354298,EDP,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
PTB-00004,unassigned_point,node/13760361511,EDP,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
BRG-00135,unassigned_point,node/13762106215,Charging Together,2,0.0,yes,yes,24/7,Mobi.E,2,300.0,no,0,0.0,300.0,,,,,,,,,2,150.0
ODM-00016,unassigned_point,node/13762134896,Charging Together,2,0.0,yes,no,24/7,Mobi.E,2,300.0,yes,0,0.0,300.0,,,,,,,,,2,150.0
AGD-00023,unassigned_point,node/13763128357,DTE,2,82.0,yes,yes,24/7,Mobi.E,3,142.0,no,1,22.0,82.0,,,,,1,22.0,,,2,60.0
AGD-00036,unassigned_point,node/13763131247,DTE,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
AGD-00020,unassigned_point,node/13763158793,DTE,2,82.0,yes,yes,24/7,Mobi.E,3,142.0,no,1,22.0,82.0,,,,,1,22.0,,,2,60.0
AGD-00024,unassigned_point,node/13763160251,DTE,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
AGD-00033,unassigned_point,node/13763161719,DTE,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
AGD-00029,unassigned_point,node/13763165770,DTE,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
AGD-00028,unassigned_point,node/13763165772,DTE,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
AGD-00025,unassigned_point,node/13763166026,DTE,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
AGD-00031,unassigned_point,node/13763180342,DTE,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
AGD-00035,unassigned_point,node/13763204887,DTE,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
STR-00072,unassigned_point,node/13763320242,Powerdot,1,0.0,yes,yes,24/7,Mobi.E,1,200.0,yes,0,0.0,200.0,,,,,,,,,1,200.0
LRA-00129,unassigned_point,node/13787262436,EDP,2,82.0,yes,no,Mo-Sa 10:00-19:00,Mobi.E,3,142.0,no,1,22.0,82.0,,,,,1,22.0,,,2,60.0
CMN-00028,unassigned_point,node/13787277970,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
CMN-00027,unassigned_point,node/13787277981,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,240.0,yes,0,0.0,240.0,,,,,,,,,2,120.0
VCD-00084,unassigned_point,node/13787387368,EDP,2,0.0,yes,no,24/7,Mobi.E,2,41.4,no,0,0.0,41.4,,,,,2,20.7,,,,
ETZ-00030,unassigned_point,node/13787426233,Evio,2,0.0,yes,yes,24/7,Mobi.E,2,120.0,yes,0,0.0,120.0,,,,,,,,,2,60.0
ETZ-00029,unassigned_point,node/13787426234,Evio,2,0.0,yes,yes,24/7,Mobi.E,2,120.0,yes,0,0.0,120.0,,,,,,,,,2,60.0
ALM-00166,unassigned_point,node/13787547009,EDP,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
ALM-00165,unassigned_point,node/13787547020,EDP,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
